Alt,bundle1,bundle2,bundle3,chauf1,chauf2,chauf3,nbund1,nbund2,nbundles,nrs1,npe1,nrs2,npe2,Description
148,1,2,2,2,2,2,2,0,2,0,2,0,0,child 2 and 3 are escorted in bundle 2 by chauffeur 1 as pure escort and child 1 is escorted in bundle 1 by chauffeur 1 as pure escort
149,1,2,2,2,3,3,1,1,2,0,1,1,0,child 2 and 3 are escorted in bundle 2 by chauffeur 1 as pure escort and child 1 is escorted in bundle 1 by chauffeur 2 as ride sharing
150,1,2,2,2,4,4,1,1,2,0,1,0,1,child 2 and 3 are escorted in bundle 2 by chauffeur 1 as pure escort and child 1 is escorted in bundle 1 by chauffeur 2 as pure escort
151,1,2,2,3,1,1,1,1,2,1,0,1,0,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as ride sharing and child 1 is escorted in bundle 1 by chauffeur 1 as ride sharing
152,1,2,2,3,2,2,1,1,2,0,1,1,0,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as ride sharing and child 1 is escorted in bundle 1 by chauffeur 1 as pure escort
153,1,2,2,3,4,4,0,2,2,0,0,1,1,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as ride sharing and child 1 is escorted in bundle 1 by chauffeur 2 as pure escort
154,1,2,2,4,1,1,1,1,2,1,0,0,1,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as pure escort and child 1 is escorted in bundle 1 by chauffeur 1 as ride sharing
155,1,2,2,4,2,2,1,1,2,0,1,0,1,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as pure escort and child 1 is escorted in bundle 1 by chauffeur 1 as pure escort
156,1,2,2,4,3,3,0,2,2,0,0,1,1,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as pure escort and child 1 is escorted in bundle 1 by chauffeur 2 as ride sharing
157,1,2,2,4,4,4,0,2,2,0,0,0,2,child 2 and 3 are escorted in bundle 2 by chauffeur 2 as pure escort and child 1 is escorted in bundle 1 by chauffeur 2 as pure escort
