Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM
DRIVE_LRF - number of transfers,@c_xfers_drv * (odt_skims['DRV_LRF_WLK_BOARDS']-1).clip(0),,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Drive time,@c_dtim * (odt_skims['DRV_LRF_WLK_DTIM']/100 + dot_skims['WLK_LRF_DRV_DTIM']/100),,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Walk access time (at attraction end),@c_wacc * df.destination_walk_time,,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Walk egress time (at attraction end),@c_wegr * df.destination_walk_time,,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Walk other time,@c_waux * (odt_skims['DRV_LRF_WLK_WAUX']/100 + dot_skims['WLK_LRF_DRV_WAUX']/100),,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Fare and operating cost,@df.c_cost * ((odt_skims['DRV_LRF_WLK_FAR']+dot_skims['WLK_LRF_DRV_FAR']) + ((odt_skims['DRV_LRF_WLK_DDIST']/100+dot_skims['WLK_LRF_DRV_DDIST']/100) *costPerMile)),,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Ratio of drive access distance to OD distance,@c_dacc_ratio * ((odt_skims['DRV_LRF_WLK_DDIST']/100+ dot_skims['WLK_LRF_DRV_DDIST']/100)/ (od_skims['DIST']*2)),,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Destination zone densityIndex,@c_density_index * df.dest_density_index,,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Topology,@c_topology_trn * df.dest_topology,,,,,,,,,,,,,,,1,,,
DRIVE_LRF - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,,,1,,,
#Drive to Express bus,,,,,,,,,,,,,,,,,,,
DRIVE_EXP - Unavailable,drive_express_available == False,,,,,,,,,,,,,,,,-999,,
DRIVE_EXP - Unavailable for zero auto households,auto_ownership == 0,,,,,,,,,,,,,,,,-999,,
DRIVE_EXP - Unavailable for persons less than 16,age < 16,,,,,,,,,,,,,,,,-999,,
DRIVE_EXP - In-vehicle time,@c_ivt * (odt_skims['DRV_EXP_WLK_TOTIVT']/100 + dot_skims['WLK_EXP_DRV_TOTIVT']/100),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - In-vehicle time on Express bus (incremental w/ ivt),@(c_ivt_exp-c_ivt) * (odt_skims['DRV_EXP_WLK_KEYIVT']/100 + dot_skims['WLK_EXP_DRV_KEYIVT']/100),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Short iwait time,@c_short_i_wait * ((odt_skims['DRV_EXP_WLK_IWAIT']/100).clip(upper=waitThresh) + (dot_skims['WLK_EXP_DRV_IWAIT']/100).clip(upper=waitThresh)),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Long iwait time,@c_long_i_wait * ((odt_skims['DRV_EXP_WLK_IWAIT']/100-waitThresh).clip(0) + (dot_skims['WLK_EXP_DRV_IWAIT']/100-waitThresh).clip(0)),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - transfer wait time,@c_xwait * (odt_skims['DRV_EXP_WLK_XWAIT']/100 + dot_skims['WLK_EXP_DRV_XWAIT']/100),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - number of transfers,@c_xfers_drv * ((odt_skims['DRV_EXP_WLK_BOARDS']-1).clip(0) + (dot_skims['WLK_EXP_DRV_BOARDS']-1).clip(0)),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Drive time,@c_dtim * (odt_skims['DRV_EXP_WLK_DTIM']/100 + dot_skims['WLK_EXP_DRV_DTIM']/100),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Walk access time (at attraction end),@c_wacc * df.destination_walk_time,,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Walk egress ime (at attraction end),@c_wegr * df.destination_walk_time,,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Walk other time,@c_waux * (odt_skims['DRV_EXP_WLK_WAUX']/100 + dot_skims['WLK_EXP_DRV_WAUX']/100),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Fare and operating cost,@df.c_cost * ((odt_skims['DRV_EXP_WLK_FAR']+dot_skims['WLK_EXP_DRV_FAR']) + ((odt_skims['DRV_EXP_WLK_DDIST']/100+dot_skims['WLK_EXP_DRV_DDIST']/100) *costPerMile)),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Ratio of drive access distance to OD distance,@c_dacc_ratio * ((odt_skims['DRV_EXP_WLK_DDIST']/100+ dot_skims['WLK_EXP_DRV_DDIST']/100)/ (od_skims['DIST']*2)),,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Destination zone densityIndex,@c_density_index * df.dest_density_index,,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Topology,@c_topology_trn * df.dest_topology,,,,,,,,,,,,,,,,1,,
DRIVE_EXP - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,,,,1,,
#Drive to Heavy Rail,,,,,,,,,,,,,,,,,,,
DRIVE_HVY - Unavailable,drive_heavyrail_available == False,,,,,,,,,,,,,,,,,-999,
DRIVE_HVY - Unavailable for zero auto households,auto_ownership == 0,,,,,,,,,,,,,,,,,-999,
DRIVE_HVY - Unavailable for persons less than 16,age < 16,,,,,,,,,,,,,,,,,-999,
DRIVE_HVY - In-vehicle time,@c_ivt * (odt_skims['DRV_HVY_WLK_TOTIVT']/100 + dot_skims['WLK_HVY_DRV_TOTIVT']/100),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - In-vehicle time on heavy rail (incremental w/ ivt),@(c_ivt_hvy-c_ivt) * (odt_skims['DRV_HVY_WLK_KEYIVT']/100 + dot_skims['WLK_HVY_DRV_KEYIVT']/100),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Short iwait time,@c_short_i_wait * ((odt_skims['DRV_HVY_WLK_IWAIT']/100).clip(upper=waitThresh) + (dot_skims['WLK_HVY_DRV_IWAIT']/100).clip(upper=waitThresh)),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Long iwait time,@c_long_i_wait * ((odt_skims['DRV_HVY_WLK_IWAIT']/100-waitThresh).clip(0) + (dot_skims['WLK_HVY_DRV_IWAIT']/100-waitThresh).clip(0)),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - transfer wait time,@c_xwait * (odt_skims['DRV_HVY_WLK_XWAIT']/100 + dot_skims['WLK_HVY_DRV_XWAIT']/100),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - number of transfers,@c_xfers_drv * ((odt_skims['DRV_HVY_WLK_BOARDS']-1).clip(0) + (dot_skims['WLK_HVY_DRV_BOARDS']-1).clip(0)),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Drive time,@c_dtim * (odt_skims['DRV_HVY_WLK_DTIM']/100 + dot_skims['WLK_HVY_DRV_DTIM']/100),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Walk access time (at attraction end),@c_wacc * df.destination_walk_time,,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Walk egress time (at attraction end),@c_wegr * df.destination_walk_time,,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Walk other time,@c_waux * (odt_skims['DRV_HVY_WLK_WAUX']/100 + dot_skims['WLK_HVY_DRV_WAUX']/100),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Fare and operating cost,@df.c_cost * ((odt_skims['DRV_HVY_WLK_FAR']+dot_skims['WLK_HVY_DRV_FAR']) + ((odt_skims['DRV_HVY_WLK_DDIST']/100+dot_skims['WLK_HVY_DRV_DDIST']/100) *costPerMile)),,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Ratio of drive access distance to OD distance,@c_dacc_ratio * (odt_skims['DRV_HVY_WLK_DDIST']/100) / od_skims['DIST'],,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Destination zone densityIndex,@c_density_index * df.dest_density_index,,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Topology,@c_topology_trn * df.dest_topology,,,,,,,,,,,,,,,,,1,
DRIVE_HVY - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,,,,,1,
#Drive to Commuter Rail,,,,,,,,,,,,,,,,,,,
DRIVE_COM - Unavailable,drive_commuter_available == False,,,,,,,,,,,,,,,,,,-999
DRIVE_COM - Unavailable for zero auto households,auto_ownership == 0,,,,,,,,,,,,,,,,,,-999
DRIVE_COM - Unavailable for persons less than 16,age < 16,,,,,,,,,,,,,,,,,,-999
DRIVE_COM - In-vehicle time,@c_ivt * (odt_skims['DRV_COM_WLK_TOTIVT']/100 + dot_skims['WLK_COM_DRV_TOTIVT']/100),,,,,,,,,,,,,,,,,,1
DRIVE_COM - In-vehicle time on commuter rail (incremental w/ ivt),@(c_ivt_com-c_ivt) * (odt_skims['DRV_COM_WLK_KEYIVT']/100 + dot_skims['WLK_COM_DRV_KEYIVT']/100),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Short iwait time,@c_short_i_wait * ((odt_skims['DRV_COM_WLK_IWAIT']/100).clip(upper=waitThresh) + (dot_skims['WLK_COM_DRV_IWAIT']/100).clip(upper=waitThresh)),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Long iwait time,@c_long_i_wait * ((odt_skims['DRV_COM_WLK_IWAIT']/100-waitThresh).clip(0) + (dot_skims['WLK_COM_DRV_IWAIT']/100-waitThresh).clip(0)),,,,,,,,,,,,,,,,,,1
DRIVE_COM - transfer wait time,@c_xwait * (odt_skims['DRV_COM_WLK_XWAIT']/100 + dot_skims['WLK_COM_DRV_XWAIT']/100),,,,,,,,,,,,,,,,,,1
DRIVE_COM - number of transfers,@c_xfers_drv * ((odt_skims['DRV_COM_WLK_BOARDS']-1).clip(0) + (dot_skims['WLK_COM_DRV_BOARDS']-1).clip(0)),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Drive time,@c_dtim * (odt_skims['DRV_COM_WLK_DTIM']/100 + dot_skims['WLK_COM_DRV_DTIM']/100),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Walk access time (at attraction end),@c_wacc * df.destination_walk_time,,,,,,,,,,,,,,,,,,1
DRIVE_COM - Walk egress time (at attraction end),@c_wegr * df.destination_walk_time,,,,,,,,,,,,,,,,,,1
DRIVE_COM - Walk other time,@c_waux * (odt_skims['DRV_COM_WLK_WAUX']/100 + dot_skims['WLK_COM_DRV_WAUX']/100),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Fare and operating cost,@df.c_cost * ((odt_skims['DRV_COM_WLK_FAR']+dot_skims['WLK_COM_DRV_FAR']) + ((odt_skims['DRV_COM_WLK_DDIST']/100+dot_skims['WLK_COM_DRV_DDIST']/100) *costPerMile)),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Ratio of drive access distance to OD distance,@c_dacc_ratio * ((odt_skims['DRV_COM_WLK_DDIST']/100 + dot_skims['WLK_COM_DRV_DDIST']/100)/ (od_skims['DIST']*2)),,,,,,,,,,,,,,,,,,1
DRIVE_COM - Destination zone densityIndex,@c_density_index * df.dest_density_index,,,,,,,,,,,,,,,,,,1
DRIVE_COM - Topology,@c_topology_trn * df.dest_topology,,,,,,,,,,,,,,,,,,1
DRIVE_COM - Person is less than 10 years old,@c_age010_trn * (df.age < 10),,,,,,,,,,,,,,,,,,1
#indiv tour ASCs,,,,,,,,,,,,,,,,,,,
Walk ASC - Zero auto,@walk_ASC_no_auto * (df.is_indiv & (df.auto_ownership == 0)),,,,,,,1,,,,,,,,,,,
Walk ASC - Auto deficient,@walk_ASC_auto_decicient * (df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,1,,,,,,,,,,,
Walk ASC - Auto deficient,@walk_ASC_auto_sufficient * (df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,1,,,,,,,,,,,
Bike ASC - Zero auto,@bike_ASC_no_auto * (df.is_indiv & (df.auto_ownership == 0)),,,,,,,,1,,,,,,,,,,
Bike ASC - Auto deficient,@bike_ASC_auto_decicient * (df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,1,,,,,,,,,,
Bike ASC - Auto deficient,@bike_ASC_auto_sufficient * (df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,,1,,,,,,,,,,
Shared ride 2 ASC - Zero auto,@sr2_ASC_no_auto * (df.is_indiv & (df.auto_ownership == 0)),,,1,1,,,,,,,,,,,,,,
Shared ride 2 ASC - Auto deficient,@sr2_ASC_auto_decicient * (df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,1,1,,,,,,,,,,,,,,
Shared ride 2 ASC - Auto deficient,@sr2_ASC_auto_sufficient * (df.is_indiv & (df.auto_ownership >= df.num_workers)),,,1,1,,,,,,,,,,,,,,
Shared ride 3+ - Zero auto,@sr3p_ASC_no_auto * (df.is_indiv & (df.auto_ownership == 0)),,,,,1,1,,,,,,,,,,,,
Shared ride 3+ - Auto deficient,@sr3p_ASC_auto_decicient *  (df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,1,1,,,,,,,,,,,,
Shared ride 3+ - Auto deficient,@sr3p_ASC_auto_sufficient * (df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,1,1,,,,,,,,,,,,
Walk to Transit - Zero auto,@walk_transit_ASC_no_auto * (df.is_indiv & (df.auto_ownership == 0)),,,,,,,,,1,1,1,1,1,,,,,
Walk to Transit - Auto deficient,@walk_transit_ASC_auto_decicient *  (df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,1,1,1,1,1,,,,,
Walk to Transit - Auto deficient,@walk_transit_ASC_auto_sufficient * (df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,,,1,1,1,1,1,,,,,
Drive to Transit - Zero auto,@drive_transit_ASC_no_auto * (df.is_indiv & (df.auto_ownership == 0)),,,,,,,,,,,,,,1,1,1,1,1
Drive to Transit - Auto deficient,@drive_transit_ASC_auto_decicient *  (df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,,,,1,1,1,1,1
Drive to Transit - Auto deficient,@drive_transit_ASC_auto_sufficient * (df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,,,,,,,,,,1,1,1,1,1
#joint tour ASCs,,,,,,,,,,,,,,,,,,,
Joint - Walk ASC - Zero auto,@joint_walk_ASC_no_auto * (df.is_joint & (df.auto_ownership == 0)),,,,,,,1,,,,,,,,,,,
Joint - Walk ASC - Auto deficient,@joint_walk_ASC_auto_decicient * (df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,1,,,,,,,,,,,
Joint - Walk ASC - Auto deficient,@joint_walk_ASC_auto_sufficient * (df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,1,,,,,,,,,,,
Joint - Bike ASC - Zero auto,@joint_bike_ASC_no_auto * (df.is_joint & (df.auto_ownership == 0)),,,,,,,,1,,,,,,,,,,
Joint - Bike ASC - Auto deficient,@joint_bike_ASC_auto_decicient * (df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,1,,,,,,,,,,
Joint - Bike ASC - Auto deficient,@joint_bike_ASC_auto_sufficient * (df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,,1,,,,,,,,,,
Joint - Shared ride 2 ASC - Zero auto,@joint_sr2_ASC_no_auto * (df.is_joint & (df.auto_ownership == 0)),,,1,1,,,,,,,,,,,,,,
Joint - Shared ride 2 ASC - Auto deficient,@joint_sr2_ASC_auto_decicient * (df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,1,1,,,,,,,,,,,,,,
Joint - Shared ride 2 ASC - Auto deficient,@joint_sr2_ASC_auto_sufficient * (df.is_joint & (df.auto_ownership >= df.num_workers)),,,1,1,,,,,,,,,,,,,,
Joint - Shared ride 3+ - Zero auto,@joint_sr3p_ASC_no_auto * (df.is_joint & (df.auto_ownership == 0)),,,,,1,1,,,,,,,,,,,,
Joint - Shared ride 3+ - Auto deficient,@joint_sr3p_ASC_auto_decicient *  (df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,1,1,,,,,,,,,,,,
Joint - Shared ride 3+ - Auto deficient,@joint_sr3p_ASC_auto_sufficient * (df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,1,1,,,,,,,,,,,,
Joint - Walk to Transit - Zero auto,@joint_walk_transit_ASC_no_auto * (df.is_joint & (df.auto_ownership == 0)),,,,,,,,,1,1,1,1,1,,,,,
Joint - Walk to Transit - Auto deficient,@joint_walk_transit_ASC_auto_decicient *  (df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,1,1,1,1,1,,,,,
Joint - Walk to Transit - Auto deficient,@joint_walk_transit_ASC_auto_sufficient * (df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,,,1,1,1,1,1,,,,,
Joint - Drive to Transit - Zero auto,@joint_drive_transit_ASC_no_auto * (df.is_joint & (df.auto_ownership == 0)),,,,,,,,,,,,,,1,1,1,1,1
Joint - Drive to Transit - Auto deficient,@joint_drive_transit_ASC_auto_decicient *  (df.is_joint & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,,,,1,1,1,1,1
Joint - Drive to Transit - Auto deficient,@joint_drive_transit_ASC_auto_sufficient * (df.is_joint & (df.auto_ownership >= df.num_workers)),,,,,,,,,,,,,,1,1,1,1,1
Local bus ASC,@local_bus_ASC,,,,,,,,,1,,,,,1,,,,
Walk to Light Rail ASC,@walk_light_rail_ASC * (df.walk_ferry_available == False),,,,,,,,,,1,,,,,,,,
Drive to Light Rail ASC,@drive_light_rail_ASC * (df.drive_ferry_available == False),,,,,,,,,,,,,,,1,,,
Walk to Ferry ASC,@walk_ferry_ASC * df.walk_ferry_available,,,,,,,,,,1,,,,,,,,
Drive to Ferry ASC,@drive_ferry_ASC * df.drive_ferry_available,,,,,,,,,,,,,,,1,,,
Express Bus ASC,@express_bus_ASC,,,,,,,,,,,1,,,,,1,,
Heavy Rail ASC,@heavy_rail_ASC,,,,,,,,,,,,1,,,,,1,
Commuter Rail,@commuter_rail_ASC,,,,,,,,,,,,,1,,,,,1
Walk to Transit dest CBD,@walk_transit_CBD_ASC * df.destination_in_cbd,,,,,,,,,1,1,1,1,1,,,,,
Drive to Transit dest CBD,@drive_transit_CBD_ASC * df.destination_in_cbd,,,,,,,,,,,,,,1,1,1,1,1
Drive to Transit - distance penalty,@(c_drvtrn_distpen_0*(1-od_skims['DIST']/c_drvtrn_distpen_max)).clip(upper=0),,,,,,,,,,,,,,1,1,1,1,1
# FIXME - skims aren't symmetrical, so we have to make sure they can get back,,,,,,,,,,,,,,,,,,
Walk not available for long distances,@od_skims.max('DISTWALK') > 3,,,,,,,-999,,,,,,,,,,,
Bike not available for long distances,@od_skims.max('DISTBIKE') > 8,,,,,,,,-999,,,,,,,,,,
Drive alone not available for escort tours,is_escort,-999,-999,,,,,,,,,,,,,,,,
