Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_ALLTRN,WALK_PRMTRN,PNR_ALLTRN,PNR_PRMTRN,KNR_ALLTRN,KNR_PRMTRN,SCHOOL_BUS
PNRALL - First wait time -- in excess of 7.5 minutes,"@coef_firstWaitLong*np.maximum(((odt_skims['PNR_ALLTRN_WLK_IWAIT']+dot_skims['WLK_ALLTRN_PNR_IWAIT']) - firstWaitThresh*2),0)*(df.PNRAllTransitAvailable)",,,,,,,,,,,1,,,,
PNRALL - Transfer wait time,@coef_xferWait*(odt_skims['PNR_ALLTRN_WLK_XWAIT']+dot_skims['WLK_ALLTRN_PNR_XWAIT']+odt_skims['PNR_ALLTRN_WLK_XPEN']+dot_skims['WLK_ALLTRN_PNR_XPEN'])*(df.PNRAllTransitAvailable),,,,,,,,,,,1,,,,
PNRALL - Walk time -- up to 2/3 mile,"@coef_walkTimeShort * np.minimum((odt_skims['PNR_ALLTRN_WLK_WALK']+dot_skims['WLK_ALLTRN_PNR_WALK']), walkThresh*60/walkSpeed*2)*(df.PNRAllTransitAvailable)",,,,,,,,,,,1,,,,
PNRALL - Walk time -- beyond 2/3 mile,"@coef_walkTimeLong * np.maximum(((odt_skims['PNR_ALLTRN_WLK_WALK']+dot_skims['WLK_ALLTRN_PNR_WALK']) - walkThresh*60/walkSpeed*2),0)*(df.PNRAllTransitAvailable)",,,,,,,,,,,1,,,,
PNRALL - Transfer penalty,@coef_ivt*10.0*((odt_skims['PNR_ALLTRN_WLK_XWAIT']+dot_skims['WLK_ALLTRN_PNR_XWAIT'])>0)*(df.PNRAllTransitAvailable),,,,,,,,,,,1,,,,
PNRALL - Drive time,@coef_pnrTime * (odt_skims['PNR_ALLTRN_WLK_AUTO']+dot_skims['WLK_ALLTRN_PNR_AUTO'])*(df.PNRAllTransitAvailable),,,,,,,,,,,1,,,,
PNRALL - Cost,@df.coef_cost*((odt_skims['PNR_ALLTRN_WLK_FARE']+dot_skims['WLK_ALLTRN_PNR_FARE'])*100+(odt_skims['PNR_ALLTRN_WLK_AUTO']+dot_skims['WLK_ALLTRN_PNR_AUTO'])*20/60*costPerMile)*(df.PNRAllTransitAvailable),,,,,,,,,,,1,,,,
PNRALL - Non-working adult,@coef_drvTran_nonWrkAdlt * df.is_nonworker_adult,,,,,,,,,,,1,,,,
PNRALL - MARTA constant,"@coef_ivt*np.minimum((df.PNRHRTAllTransit_out+df.PNRHRTAllTransit_ret), 30)*(-1)*(0.1)",,,,,,,,,,,1,,,,
PNRALL - Transit short distance disutility,"@coef_ivt*np.minimum(np.maximum((-4*odt_skims['SOV_FREE_DISTANCE']+70),0),60)",,,,,,,,,,,1,,,,
#,,,,,,,,,,,,,,,,
#PNR to Premium Transit,,,,,,,,,,,,,,,,
PNRPRM - Unavailable,PNRPrmTransitAvailable==False,,,,,,,,,,,,-999,,,
PNRPRM - In-vehicle time,@coef_ivt * (df.PNRPrmTotalIVT)*(df.PNRPrmTransitAvailable),,,,,,,,,,,,1,,,
PNRPRM - First wait time -- up to 7.5 minutes,"@coef_firstWaitShort*np.minimum((odt_skims['PNR_PRMTRN_WLK_IWAIT']+dot_skims['WLK_PRMTRN_PNR_IWAIT']), firstWaitThresh*2)*(df.PNRPrmTransitAvailable)",,,,,,,,,,,,1,,,
PNRPRM - First wait time -- in access of 7.5 minutes,"@coef_firstWaitLong*np.maximum(((odt_skims['PNR_PRMTRN_WLK_IWAIT']+dot_skims['WLK_PRMTRN_PNR_IWAIT']) - firstWaitThresh*2),0)*(df.PNRPrmTransitAvailable)",,,,,,,,,,,,1,,,
PNRPRM -Transfer wait time,@coef_xferWait*(odt_skims['PNR_PRMTRN_WLK_XWAIT']+dot_skims['WLK_PRMTRN_PNR_XWAIT']+odt_skims['PNR_PRMTRN_WLK_XPEN']+dot_skims['WLK_PRMTRN_PNR_XPEN'])*(df.PNRPrmTransitAvailable),,,,,,,,,,,,1,,,
PNRPRM - Walk time -- up to 2/3 mile,"@coef_walkTimeShort * np.minimum((odt_skims['PNR_PRMTRN_WLK_WALK']+dot_skims['WLK_PRMTRN_PNR_WALK']),walkThresh*60/walkSpeed*2)*(df.PNRPrmTransitAvailable)",,,,,,,,,,,,1,,,
PNRPRM - Walk time -- beyond 2/3 mile,"@coef_walkTimeLong * np.maximum(((odt_skims['PNR_PRMTRN_WLK_WALK']+dot_skims['WLK_PRMTRN_PNR_WALK']) - walkThresh*60/walkSpeed*2),0)*(df.PNRPrmTransitAvailable)",,,,,,,,,,,,1,,,
PNRPRM - Transfer penalty,@coef_ivt*10.0*((odt_skims['PNR_PRMTRN_WLK_XWAIT']+dot_skims['WLK_PRMTRN_PNR_XWAIT'])>0)*(df.PNRPrmTransitAvailable),,,,,,,,,,,,1,,,
PNRPRM  - Drive time,@coef_pnrTime * (odt_skims['PNR_PRMTRN_WLK_AUTO']+dot_skims['WLK_PRMTRN_PNR_AUTO'])*(df.PNRPrmTransitAvailable),,,,,,,,,,,,1,,,
PNRPRM  - Cost,@df.coef_cost*((odt_skims['PNR_PRMTRN_WLK_FARE']+dot_skims['WLK_PRMTRN_PNR_FARE'])*100+(odt_skims['PNR_PRMTRN_WLK_AUTO']+dot_skims['WLK_PRMTRN_PNR_AUTO'])*20/60*costPerMile)*(df.PNRPrmTransitAvailable),,,,,,,,,,,,1,,,
PNRPRM - Non-working adult,@coef_drvTran_nonWrkAdlt * df.is_nonworker_adult,,,,,,,,,,,,1,,,
PNRPRM - MARTA constant,"@coef_ivt*np.minimum((df.PNRHRTPremium_out+df.PNRHRTPremium_ret), 30)*(-1)*(0.1)",,,,,,,,,,,,1,,,
PNRPRM - Transit short distance disutility,"@coef_ivt*np.minimum(np.maximum((-4*odt_skims['SOV_FREE_DISTANCE']+70),0),60)",,,,,,,,,,,,1,,,
PNRPRM - Drive constant,@coef_ivt*-17.5,,,,,,,,,,,,1,,,
#,,,,,,,,,,,,,,,,
#KNR to Non-premium Transit,,,,,,,,,,,,,,,,
KNRALL - Unavailable,KNRAllTransitAvailable==False,,,,,,,,,,,,,-999,,
KNRALL  - In-vehicle time,@coef_ivt * (df.KNRALLTotalIVT)*(df.KNRAllTransitAvailable),,,,,,,,,,,,,1,,
KNRALL  - First wait time -- up to 7.5 minutes,"@coef_firstWaitShort*np.minimum((odt_skims['KNR_ALLTRN_WLK_IWAIT']+dot_skims['WLK_ALLTRN_KNR_IWAIT']),firstWaitThresh*2)*(df.KNRAllTransitAvailable)",,,,,,,,,,,,,1,,
KNRALL  - First wait time -- in excess of 7.5 minutes,"@coef_firstWaitLong*np.maximum(((odt_skims['KNR_ALLTRN_WLK_IWAIT']+dot_skims['WLK_ALLTRN_KNR_IWAIT']) - firstWaitThresh*2),0)*(df.KNRAllTransitAvailable)",,,,,,,,,,,,,1,,
KNRALL - Transfer wait time,@coef_xferWait*(odt_skims['KNR_ALLTRN_WLK_XWAIT']+dot_skims['WLK_ALLTRN_KNR_XWAIT'])*(df.KNRAllTransitAvailable),,,,,,,,,,,,,1,,
KNRALL - Walk time -- up to 2/3 mile,"@coef_walkTimeShort * np.minimum((odt_skims['KNR_ALLTRN_WLK_WALK']+dot_skims['WLK_ALLTRN_KNR_WALK']), walkThresh*60/walkSpeed*2)*(df.KNRAllTransitAvailable)",,,,,,,,,,,,,1,,
KNRALL - Walk time -- beyond 2/3 mile,"@coef_walkTimeLong * np.maximum(((odt_skims['KNR_ALLTRN_WLK_WALK']+dot_skims['WLK_ALLTRN_KNR_WALK']) - walkThresh*60/walkSpeed*2) ,0)*(df.KNRAllTransitAvailable)",,,,,,,,,,,,,1,,
KNRALL - Drive time,@coef_knrTime * (odt_skims['KNR_ALLTRN_WLK_AUTO']+dot_skims['WLK_ALLTRN_KNR_AUTO'])*(df.KNRAllTransitAvailable),,,,,,,,,,,,,1,,
KNRALL - Cost,@df.coef_cost*((odt_skims['KNR_ALLTRN_WLK_FARE']+dot_skims['WLK_ALLTRN_KNR_FARE'])*100+(odt_skims['KNR_ALLTRN_WLK_AUTO']+dot_skims['WLK_ALLTRN_KNR_AUTO'])*20/60*costPerMile)*(df.KNRAllTransitAvailable),,,,,,,,,,,,,1,,
KNRALL - Non-working adult,@coef_drvTran_nonWrkAdlt * df.is_nonworker_adult,,,,,,,,,,,,,1,,
KNRALL - MARTA constant,"@coef_ivt*np.minimum((df.KNRHRTAllTransit_out+df.KNRHRTAllTransit_ret), 30)*(-1)*(0.1)",,,,,,,,,,,,,1,,
KNRALL - Transit short distance disutility,"@coef_ivt*np.minimum(np.maximum((-4*odt_skims['SOV_FREE_DISTANCE']+70),0),60)",,,,,,,,,,,,,1,,
#,,,,,,,,,,,,,,,,
#KNR to Premium Transit,,,,,,,,,,,,,,,,
KNRPRM - Unavailable,KNRPrmTransitAvailable==False,,,,,,,,,,,,,,-999,
KNRPRM - In-vehicle time,@coef_ivt * (df.KNRPrmTotalIVT)*(df.KNRPrmTransitAvailable),,,,,,,,,,,,,,1,
KNRPRM - First wait time -- up to 7.5 minutes,"@coef_firstWaitShort*np.minimum((odt_skims['KNR_PRMTRN_WLK_IWAIT']+dot_skims['WLK_PRMTRN_KNR_IWAIT']), firstWaitThresh*2)*(df.KNRPrmTransitAvailable)",,,,,,,,,,,,,,1,
KNRPRM - First wait time -- in excess of 7.5 minutes,"@coef_firstWaitLong*np.maximum(((odt_skims['KNR_PRMTRN_WLK_IWAIT']+dot_skims['WLK_PRMTRN_KNR_IWAIT']) - firstWaitThresh*2),0)*(df.KNRPrmTransitAvailable)",,,,,,,,,,,,,,1,
KNRPRM - Transfer wait time,@coef_xferWait*(odt_skims['KNR_PRMTRN_WLK_XWAIT']+dot_skims['WLK_PRMTRN_KNR_XWAIT'])*(df.KNRPrmTransitAvailable),,,,,,,,,,,,,,1,
KNRPRM - Walk time -- up to 2/3 mile,"@coef_walkTimeShort * np.minimum((odt_skims['KNR_PRMTRN_WLK_WALK']+dot_skims['WLK_PRMTRN_KNR_WALK']),(walkThresh*60/walkSpeed*2))*(df.KNRPrmTransitAvailable)",,,,,,,,,,,,,,1,
KNRPRM - Walk time -- beyond 2/3 mile,"@coef_walkTimeLong * np.maximum(((odt_skims['KNR_PRMTRN_WLK_WALK']+dot_skims['WLK_PRMTRN_KNR_WALK']) - walkThresh*60/walkSpeed*2),0)*(df.KNRPrmTransitAvailable)",,,,,,,,,,,,,,1,
KNRPRM - Drive time,@coef_knrTime * (odt_skims['KNR_PRMTRN_WLK_AUTO']+dot_skims['WLK_PRMTRN_KNR_AUTO'])*(df.KNRPrmTransitAvailable),,,,,,,,,,,,,,1,
KNRPRM - Cost,@df.coef_cost*((odt_skims['KNR_PRMTRN_WLK_FARE']+dot_skims['WLK_PRMTRN_KNR_FARE'])*100+(odt_skims['KNR_PRMTRN_WLK_AUTO']+dot_skims['WLK_PRMTRN_KNR_AUTO'])*20/60*costPerMile)*(df.KNRPrmTransitAvailable),,,,,,,,,,,,,,1,
KNRPRM - Non-working adult,@coef_drvTran_nonWrkAdlt * df.is_nonworker_adult,,,,,,,,,,,,,,1,
KNRPRM - MARTA constant,"@coef_ivt*np.minimum((df.KNRHRTPremium_out+df.KNRHRTPremium_ret), 30)*(-1)*(0.1)",,,,,,,,,,,,,,1,
KNRPRM -Transit short distance disutility,"@coef_ivt*np.minimum(np.maximum((-4*odt_skims['SOV_FREE_DISTANCE']+70),0),60)",,,,,,,,,,,,,,1,
KNRPRM - Premium constant,@coef_ivt*-5.0,,,,,,,,,,,,,,1,
#,,,,,,,,,,,,,,,,
SCHOOLBUS - Mode unavailable,is_school==False,,,,,,,,,,,,,,,-999
SCHOOLBUS - Grade school pre-driver,"@np.where(df.is_school, (coef_schBus_PreDriver * df.is_predrive), 0)",,,,,,,,,,,,,,,1
SCHOOLBUS -  Grade school driver,"@np.where(df.is_school, coef_schBus_Driver * df.is_driving_age, 0)",,,,,,,,,,,,,,,1
SCHOOLBUS - Rural/exurban destination,"@np.where(df.is_school, coef_schBus_Rural * df.is_rural_or_exurban, 0)",,,,,,,,,,,,,,,1
SCHOOLBUS - o/d distance greater than 10 miles,"@np.where(df.is_school, coef_schBus_odDistgre10Mile * (odt_skims['SOV_FREE_DISTANCE']>10), 0)",,,,,,,,,,,,,,,1
#SCHOOLBUS - Depart from home before 8 am (downstream model),"@np.where(df.is_school, todOut<2 , 0)",,,,,,,,,,,,,,,
#SCHOOLBUS -  Return to home before 5 pm (downstream model),"@np.where(df.is_school, todIn<6, 0)",,,,,,,,,,,,,,,
SCHOOLBUS - In-vehicle time (ERROR-all probabilities are zero for 1204 rows),"@np.where(df.is_school, coef_ivt*(odt_skims['SOV_FREE_DISTANCE']+dot_skims['SOV_FREE_DISTANCE'])*60/schoolBusSpeed, 0)",,,,,,,,,,,,,,,1
SCHOOLBUS - Out-of-vehicle time,"@np.where(df.is_school, coef_ovt*schoolBusOvt, 0)",,,,,,,,,,,,,,,1
#,,,,,,,,,,,,,,,,
CBD Transit Constant,@coef_ivt * (CBD_sub) * (df.destination_in_cbd),,,,,,,,,1,1,1,1,1,1,
#,,,,,,,,,,,,,,,,
"# Calibration Constants (work,university,school,at work - they differ by purpose)",,,,,,,,,,1,1,1,1,,,
"# For now, only work purpose constants are inserted here",,,,,,,,,,,,,,,,
Calibration: 0 Autos (work),(is_work) & (auto_ownership == 0),,,,,-0.816120219,-0.816120219,1.990089057,-999,8.593788329,7.66605407,-999,-999,4.791608079,4.471656615,
Calibration: Auto insufficient (work),(is_work) & ((auto_ownership>0) & (auto_ownership<num_workers)),,,-0.63800247,-0.63800247,-1.438648304,-1.438648304,-0.996720964,-2.45065927,2.804676361,3.566794866,0.483522163,0.545309618,0.830434421,0.889562862,
Calibration: Auto sufficient (work),(is_work) & ((auto_ownership>0) & (auto_ownership>=num_workers)),,,-1.36341359,-1.36341359,-1.81041696,-1.81041696,-2.654639366,-3.336721692,-0.170499533,0.918330131,-1.087611213,-0.546994292,-1.587459956,-1.225559131,
Calibration: 0 Autos (university),(is_university) & (auto_ownership == 0),,,,,-373.8344747,-373.8344747,-361.5964747,2.207505952,13.48834594,14.77428617,-999,-999,11.77408542,14.78303225,
Calibration: Auto insufficient (university),(is_university) & ((auto_ownership>0) & (auto_ownership<num_workers)),,,-0.293572248,-0.293572248,-368.9536483,-368.9536483,-2.899494048,-375.6966483,6.166382203,9.759548884,4.589950044,7.075102483,5.022470372,7.659571811,
Calibration: Auto sufficient (university),(is_university) & ((auto_ownership>0) & (auto_ownership>=num_workers)),,,-0.714895088,-0.714895088,-1.278349035,-1.278349035,-6.82952528,-9.41663632,-0.505158373,1.846171302,0.353170898,2.044382453,0.129623244,2.084562247,
Calibration: 0 Autos (school),(is_school) & (auto_ownership == 0),,,,,-1.000087358,-1.000087358,-1.525018997,-999,-1.430288974,-1.736723655,-999,-999,-0.436767159,-174.5292355,-1.612165537
Calibration: Auto insufficient (school),(is_school) & ((auto_ownership>0) & (auto_ownership<num_workers)),,,1.280839807,1.280839807,1.729847065,1.729847065,-0.20753071,-3.889307181,2.337316255,2.591210916,-178.6894099,2.762835725,1.623014345,2.405785819,-0.267572615
Calibration: Auto sufficient (School),(is_school) & ((auto_ownership>0) & (auto_ownership>=num_workers)),,,-0.96528887,-0.96528887,-0.631156369,-0.631156369,-3.9988617,-6.471719523,-4.557500694,-4.325195587,-123.1516952,-1.241626608,-2.870808442,-2.078685267,-3.847132931
Calibration: 0 Autos (at-work),(is_atwork_subtour) & (auto_ownership == 0),,,,,-999,-999,6.871268643,-999,5.2902692,5.645201333,,,,,
Calibration: Auto insufficient (at-work),(is_atwork_subtour) & ((auto_ownership>0) & (auto_ownership<num_workers)),,,-0.560896437,-0.560896437,-1.913334834,-1.913334834,2.269201941,-2.421173397,1.60945874,1.62112455,,,,,
Calibration: Auto sufficient (at-work),(is_atwork_subtour) & ((auto_ownership>0) & (auto_ownership>=num_workers)),,,-1.904718953,-1.904718953,-2.256102585,-2.256102585,-0.417017535,-6.15444342,-1.431384898,-0.36129991,,,,,
#Calibration Constants  (the followings are for non-mandatory tours),,,,,,,,,,,,,,,,
Calibration IndNM: 0 Autos,~is_mandatory & (auto_ownership == 0) & is_indiv,,,,,-0.675648172,-0.675648172,3.947893425,-1.148463339,4.83098908,4.162297418,-999,-999,1.73797941,2.024568045,
Calibration IndNM: Auto insufficient,~is_mandatory & ((auto_ownership>0) & (auto_ownership<num_workers)) & is_indiv,,,0.693937061,0.693937061,0.347503387,0.347503387,2.548563633,-1.381512325,4.376918628,4.429201789,-177.8805336,2.266723391,2.509887205,3.144516066,
Calibration IndNM: Auto sufficient,~is_mandatory & ((auto_ownership>0) & (auto_ownership>=num_workers)) & is_indiv,,,-0.49130717,-0.49130717,-0.584626521,-0.584626521,1.094250848,-2.635496194,-1.824540557,-2.409524906,-1.891215727,-0.975079474,-3.660130488,-2.277866899,
Calibration Joint NM: 0 Autos,~is_mandatory & (auto_ownership == 0) & is_joint,,,,,1.497076445,1.497076445,6.827698725,-999,7.917116967,6.763727705,-999,-999,6.177242271,-364.7960878,
Calibration Joint NM: Auto insufficient,~is_mandatory & ((auto_ownership>0) & (auto_ownership<num_workers)) & is_joint,,,-0.433185937,-0.433185937,-1.793324411,-1.793324411,2.107019106,-999,2.135441007,2.338516019,-333.024706,-333.024706,-174.0928375,-368.8393011,
 Calibration Joint NM: Auto sufficient,~is_mandatory & ((auto_ownership>0) & (auto_ownership>=num_workers)) & is_joint,,,0.668452181,0.668452181,0.62809826,0.62809826,1.922773568,-2.517787655,-1.070271277,-0.151651879,-326.9779548,0.243683509,-1.486590388,-365.157632,
#,,,,,,,,,,,,,,,,
#Income (probably used in calibration),,,,,,,,,,,,,,,,
Inc < 10000 (apply to only home zone),(is_income_less10K) * (Inc_PCTLT10K),,,,,,,,,16,16,,,14,14,
Inc 10k to 20k (apply to only home zone),(is_income_10K_20K) * (Inc_PCT10TO20),,,,,,,,,8,8,,,6,6,
Inc 20k to 40k (apply to only home zone),(is_income_20K_40K) * (Inc_PCT20TO40),,,,,,,,,1,1,,,1,1,
