Description,Expression,work,univ,school,escort,shopping,eatout,othmaint,social,othdiscr,atwork
SHOPPING - indiv tour distance - eat out stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2927,,,,,
SHOPPING - indiv tour distance - other maintenance stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2196,,,,,
SHOPPING - indiv tour distance - social/visiting stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.3061,,,,,
SHOPPING - indiv tour distance - other discretionary stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2999,,,,,
SHOPPING - joint tour distance - work stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.195,,,,,
SHOPPING - joint tour distance - escort stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2596,,,,,
SHOPPING - joint tour distance - shopping stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.286,,,,,
SHOPPING - joint tour distance - eat out stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2927,,,,,
SHOPPING - joint tour distance - other maintenance stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2196,,,,,
SHOPPING - joint tour distance - social/visiting stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.3061,,,,,
SHOPPING - joint tour distance - other discretionary stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,-0.2999,,,,,
SHOPPING - distance (calibration adjustment individual),"@np.where((~df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,0.1534,,,,,
SHOPPING - distance (calibration adjustment joint),"@np.where((df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,0.1766,,,,,
SHOPPING - constant for transit tours (stop w/in walking distance of home,"@np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,,,-3,,,,,
SHOPPING - constant for transit tours (stop w/in walking distance of prim dest,"@np.where(((df.outbound) & (df.trip_num==1) & (dp_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,,,-5,,,,,
SHOPPING - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9), 0)",,,,,0.6068811,,,,,
SHOPPING - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 2, 0)",,,,,-0.1338292,,,,,
SHOPPING - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 3, 0)",,,,,0.0069841,,,,,
SHOPPING - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,,,,-0.2722206,,,,,
SHOPPING - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 0, 1, 0)",,,,,1.006122015,,,,,
SHOPPING - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 1), 1, 0)",,,,,0.2,,,,,
# EATOUT,,,,,,,,,,,
EATOUT - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,,,,0.0026,,,,
EATOUT - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,,,,-0.0000109,,,,
EATOUT - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,-0.3218,,,,
EATOUT - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,0.00873,,,,
EATOUT - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,-0.00269,,,,
EATOUT - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,-0.01045,,,,
EATOUT - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,0.002442,,,,
EATOUT - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,-0.01308,,,,
EATOUT - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,,,,0,,,,
EATOUT - indiv tour distance - work stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.195,,,,
EATOUT - indiv tour distance - escort stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2596,,,,
EATOUT - indiv tour distance - shopping stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.286,,,,
EATOUT - indiv tour distance - eat out stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2927,,,,
EATOUT - indiv tour distance - other maintenance stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2196,,,,
EATOUT - indiv tour distance - social/visiting stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.3061,,,,
EATOUT - indiv tour distance - other discretionary stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2999,,,,
EATOUT - joint tour distance - work stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.195,,,,
EATOUT - joint tour distance - escort stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2596,,,,
EATOUT - joint tour distance - shopping stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.286,,,,
EATOUT - joint tour distance - eat out stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2927,,,,
EATOUT - joint tour distance - other maintenance stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2196,,,,
EATOUT - joint tour distance - social/visiting stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.3061,,,,
EATOUT - joint tour distance - other discretionary stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,-0.2999,,,,
EATOUT - distance (calibration adjustment individual),"@np.where((~df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,0.1489,,,,
EATOUT - distance (calibration adjustment joint),"@np.where((df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,0.1938,,,,
EATOUT - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9), 0)",,,,,,0.55,,,,
EATOUT - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 2, 0)",,,,,,-0.1271654,,,,
EATOUT - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 3, 0)",,,,,,0.0076428,,,,
EATOUT - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,,,,,-0.2902516,,,,
EATOUT - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 0, 1, 0)",,,,,,0.143281489,,,,
EATOUT - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 1), 1, 0)",,,,,,0.2,,,,
#OTHER MAINTENANCE,,,,,,,,,,,
MAINTENANCE - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,,,,,0.0026,,,
MAINTENANCE - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,,,,,-0.0000109,,,
MAINTENANCE - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,-0.3218,,,
MAINTENANCE - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,0.00873,,,
MAINTENANCE - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,-0.00269,,,
MAINTENANCE - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,-0.01045,,,
MAINTENANCE - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,0.002442,,,
MAINTENANCE - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,-0.01308,,,
MAINTENANCE - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,,,,,0,,,
MAINTENANCE - indiv tour distance - work stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.195,,,
MAINTENANCE - indiv tour distance - escort stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2596,,,
MAINTENANCE - indiv tour distance - shopping stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.286,,,
MAINTENANCE - indiv tour distance - eat out stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2927,,,
MAINTENANCE - indiv tour distance - other maintenance stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2196,,,
MAINTENANCE - indiv tour distance - social/visiting stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.3061,,,
MAINTENANCE - indiv tour distance - other discretionary stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2999,,,
MAINTENANCE - joint tour distance - work stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.195,,,
MAINTENANCE - joint tour distance - escort stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2596,,,
MAINTENANCE - joint tour distance - shopping stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.286,,,
MAINTENANCE - joint tour distance - eat out stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2927,,,
MAINTENANCE - joint tour distance - other maintenance stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2196,,,
MAINTENANCE - joint tour distance - social/visiting stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.3061,,,
MAINTENANCE - joint tour distance - other discretionary stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,-0.2999,,,
MAINTENANCE - distance (calibration adjustment individual),"@np.where((~df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,0.18,,,
MAINTENANCE - distance (calibration adjustment joint),"@np.where((df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,0.1113,,,
MAINTENANCE - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16), 0)",,,,,,,0.4273304,,,
MAINTENANCE - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16)) ** 2, 0)",,,,,,,-0.063652,,,
MAINTENANCE - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16)) ** 3, 0)",,,,,,,0.0019901,,,
MAINTENANCE - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,,,,,,-0.2692601,,,
MAINTENANCE - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16) < 0, 1, 0)",,,,,,,0.743124288,,,
MAINTENANCE - OOD bin 0 to 1 mile,"@np.where((np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16) >= 0) & (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 16) < 1), 1, 0)",,,,,,,0.4,,,
#SOCIAL,,,,,,,,,,,
SOCIAL - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",,,,,,,,0.0026,,
SOCIAL - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",,,,,,,,-0.0000109,,
SOCIAL - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,-0.3218,,
SOCIAL - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,0.00873,,
SOCIAL - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,-0.00269,,
SOCIAL - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",,,,,,,,-0.01045,,
SOCIAL - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,0.002442,,
SOCIAL - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",,,,,,,,-0.01308,,
SOCIAL - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",,,,,,,,0,,
SOCIAL - indiv tour distance - work stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.195,,
SOCIAL - indiv tour distance - escort stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2596,,
SOCIAL - indiv tour distance - shopping stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.286,,
SOCIAL - indiv tour distance - eat out stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2927,,
SOCIAL - indiv tour distance - other maintenance stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2196,,
SOCIAL - indiv tour distance - social/visiting stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.3061,,
SOCIAL - indiv tour distance - other discretionary stop purpose,"@np.where(((~df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2999,,
SOCIAL - joint tour distance - work stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'work')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.195,,
SOCIAL - joint tour distance - escort stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'escort')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2596,,
SOCIAL - joint tour distance - shopping stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'shopping')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.286,,
SOCIAL - joint tour distance - eat out stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'eatout')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2927,,
SOCIAL - joint tour distance - other maintenance stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othmaint')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2196,,
SOCIAL - joint tour distance - social/visiting stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'social')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.3061,,
SOCIAL - joint tour distance - other discretionary stop purpose,"@np.where(((df.is_joint) & (df.purpose == 'othdiscr')), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,-0.2999,,
SOCIAL - distance (calibration adjustment individual),"@np.where((~df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,0.1392,,
SOCIAL - distance (calibration adjustment joint),"@np.where((df.is_joint), (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]), 0)",,,,,,,,0.13,,
SOCIAL - constant for transit tours (stop w/in walking distance of home,"@np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,,,,,,-3,,
SOCIAL - constant for transit tours (stop w/in walking distance of prim dest,"@np.where(((df.outbound) & (df.trip_num==1) & (dp_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",,,,,,,,-5,,
SOCIAL - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9), 0)",,,,,,,,-0.4368483,,
SOCIAL - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 2, 0)",,,,,,,,0.1089924,,
SOCIAL - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9)) ** 3, 0)",,,,,,,,-0.0076294,,
SOCIAL - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",,,,,,,,-0.1081128,,
SOCIAL - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 9) < 0, 1, 0)",,,,,,,,-0.072029153,,
